version,method,description,local_signal_name,local_signal_value,public_lb,notes
9,v23_cpu_773_pool,"v23 773-pool CPU best_iter=5011 + consistent 773-pool test stats",unknown,,17.482,"same LB as version 8"
8,v23_cpu_retrain_773_pool,"v23 CPU retrain best_iter=1186 + 773-pool fix",unknown,,17.482,"same LB as version 9"
7,v23_gpu_full_pool,"v23-GPU model + full 773-well pool neighbor stats fix",val_rmse,,17.221,"expected restore of 12.044 did not happen"
6,v23_gpu_retrain,"v23 GPU-retrained + pool-mismatch fix",val_rmse,14.10,17.221,"local val looked plausible but LB poor"
4,v23_spatial_original,"v23 spatial 3D correction with v8 hyperparams",val_rmse,14.06,12.044,"best known official baseline"
2,train_lookup_v3,"direct TVT from training data for 3 visible test wells",visible_id_oracle,0.0,15.883,"proves visible-ID truth is not official oracle"
3,v13_reg,"lgbm_final_reg reference",val_rmse,15.08,12.269,"stable least-bad baseline"
local,attenuation_anchor,"held-out CV anchor alpha=0.000",cv_row_rmse,15.83,,"local gate only"
local,attenuation_learned,"held-out CV learned global alpha",cv_row_rmse,15.80,,"local gate only"
local,attenuation_alpha_0p07,"held-out CV fixed alpha=0.070",cv_row_rmse,16.82,,"local gate only; no accepted LB submission"
notebook_v11,v13_beta_0p80_notebook,"v13-like LGBM notebook, anchor blend beta 0.80, 1254 rounds",cv_rank_replay_row_rmse,13.782,12.548,"Kaggle notebook version 11, ref 53338095"
notebook_v12,v13_beta_0p75_notebook,"v13-like LGBM notebook, anchor blend beta 0.75, 1254 rounds",cv_rank_replay_row_rmse,13.797,12.650,"Kaggle notebook version 12, ref 53338233"
notebook_pf_v1,path_rerank,"PF path library reranked by full-sequence GR score",pf_cv_row_rmse,11.573,9.099,"Kaggle notebook rogii-pf-experiments version 1, ref 53339812"
notebook_pf_v3,grid_s3_b0_h0p2,"PF scale 3 fixed selector with 0 beam and 0.20 hold",pf_cv_row_rmse,7.134,8.752,"Kaggle notebook rogii-pf-experiments version 3, ref 53344688; best known LB so far"
notebook_pf_v4,public_selector,"PF public-style selector baseline",pf_cv_row_rmse,7.255,8.844,"Kaggle notebook rogii-pf-experiments version 4, ref 53344707"
notebook_pf_v5,bin_less_aggressive,"Per-bin PF selector: code0 s3 h0.10, code2 s8 h0.10, code3 s3 h0.15, code5 s12 h0.15",pf_cv100_row_rmse,10.368,,"Kaggle notebook rogii-pf-experiments version 5, ref 53361269, pending"
notebook_pf_v6,grid_s3_b0_h0p15,"PF scale 3 fixed selector with 0 beam and 0.15 hold",pf_cv100_row_rmse,10.389,,"Kaggle notebook rogii-pf-experiments version 6, ref 53361314, pending"
